,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
64,0.9257238864898681,0.12301854303892745,0.006183147430419922,0.0009771845185156992,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 3}",0.9290132822895024,0.8954085743163942,0.9112158450675023,0.9019181517307622,0.8819742603496767,0.9039093526574282,0.015755654320374953,45,0.9037794007675993,0.8960180043300163,0.904808470487605,0.9045924430167693,0.9154528814055501,0.9049302400015081,0.006190432817533664
65,0.7065114974975586,0.027562319909258257,0.006385517120361328,0.0008063581463444261,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 4}",0.9255596532850998,0.9075428857131659,0.9112158450675023,0.8906892868097365,0.8699807907640197,0.9010021359035194,0.019073093814027022,61,0.8946954008494212,0.9091769052345287,0.9057808816068278,0.9062677297022897,0.9038866026162451,0.9039615040018626,0.004933467334800251
66,0.8355669975280762,0.14897150962469566,0.006380653381347657,0.0004881536328170391,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 5}",0.9239253393665156,0.913303837843401,0.9234836173914481,0.9034500912976823,0.8769595823268088,0.908227405605232,0.017351041905784202,22,0.8852692968959324,0.9095017951688918,0.9200117170731271,0.923514863215137,0.9155205739783779,0.9107636492662932,0.013581626018946923
67,0.8431466579437256,0.23639873504057424,0.0061820030212402345,0.0003970624304796754,0.01,"(100, 25, 100)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 6}",0.9262123598410941,0.9227396724437568,0.9142133062236931,0.8984270262155317,0.8746469726326653,0.9072521315829152,0.018914255655704475,26,0.9038831216250672,0.9171706572527598,0.9085282338155699,0.922042963775779,0.9057818723309833,0.9114813697600319,0.00696927425058125
68,1.015484380722046,0.1252329024274559,0.006382608413696289,0.0004888891788620874,0.01,"(100, 25, 100)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 7}",0.942769970414201,0.9430269178441034,0.9327821539616449,0.9112158450675023,0.9109994659698366,0.9281623899878816,0.01440443848458287,1,0.9168994924701166,0.9336326507670418,0.9269093071925564,0.9301490516454685,0.9288014417758595,0.9272783887702086,0.005635507979673924
69,1.1377576828002929,0.38274516866203734,0.006381893157958984,0.0004889868828781272,0.01,"(100, 25, 100)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 8}",0.9449657621100682,0.9384289597252312,0.9012690477637162,0.9064836111209595,0.9114323269776042,0.9205212746061926,0.01771304998224631,5,0.9188552238335772,0.930550945348045,0.914950800513655,0.9226393561353669,0.9321652176544095,0.9238323086970107,0.0066280185169337895
70,0.5589048862457275,0.20586931819175183,0.0023934364318847655,0.0004883635114502758,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.898897456222526,0.8783247387705272,0.88532263172774,0.8618022762387675,0.8406576332589845,0.8730055063760115,0.02011148069949471,132,0.864083990318913,0.8853236391653123,0.8690603855508949,0.8495859941535423,0.8892350258586484,0.8714578070094623,0.014469193558911795
71,0.6799814224243164,0.3394577399964484,0.0023935317993164064,0.0004882858460552751,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.8758908822806581,0.907542885713166,0.9116489117734362,0.8884438485429661,0.8288669513801322,0.8824796448973997,0.029770927337095673,109,0.8479078181413271,0.9064291850592832,0.9017722348503305,0.8800811936521321,0.8844623702788916,0.8841305603963928,0.020673905604407464
72,0.6584393501281738,0.14829569056616054,0.002393627166748047,0.0004884998197418876,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.9280524958987576,0.9053995537147979,0.9090723755515399,0.888012434345428,0.8826197847528681,0.902635608111854,0.016184962572330902,53,0.89342392606208,0.909610143418864,0.9022585987792527,0.9077784989967167,0.9171171999710953,0.9060376734456017,0.007898568879582348
73,0.7458049297332764,0.20474995787561898,0.0029918670654296873,2.78041453115716e-07,0.001,"(50, 50)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9214088299907869,0.8932027424916233,0.9207507338845736,0.8933532824195531,0.8986430718115566,0.905473297030707,0.012895876975111544,32,0.889913916710311,0.8991393799052788,0.9184767659563637,0.9170087687608783,0.9248212939736408,0.9098720250612946,0.013129897779594597
74,0.7204735755920411,0.3436126255299405,0.002593231201171875,0.0004884804053141244,0.001,"(50, 50)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9257771198984983,0.9270631530312009,0.9017016798795969,0.8906892868097365,0.8585476897045726,0.9007618802161924,0.025305755263666057,63,0.8929218940388683,0.9279133567689579,0.9018761366411749,0.898275755333543,0.9008385070122926,0.9043651299589675,0.012175214779958445
75,0.5377615928649903,0.07356794155475592,0.0023939132690429686,0.0004885582259392625,0.001,"(50, 50)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9327860441251922,0.9114016021731114,0.9234836173914481,0.8911209593105713,0.8552801761806569,0.9028199500030953,0.02755116134084376,50,0.9073444849151349,0.9084271989037798,0.9204799652681018,0.8993649317672059,0.9017138807644453,0.9074660923237335,0.007335068417099385
76,0.6582394123077393,0.15143092526488267,0.0029918670654296873,4.1019083342755444e-07,0.001,"(50, 50)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.9262123598410941,0.9111853102261346,0.9158991524496839,0.9064836111209595,0.9014853119155039,0.9122552923564108,0.008468732940753067,14,0.8929218940388683,0.9070786534632223,0.9207510675003644,0.9225851067693233,0.9227478740093618,0.913216919156228,0.01170411706255768
77,0.3568460464477539,0.10365341784212256,0.002193784713745117,0.0003993048313700501,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.8936355079284624,0.873956033406933,0.8792586972134998,0.8587620895232692,0.8345796988721613,0.8680429641239463,0.020108270746931313,137,0.8642447155004159,0.87669137136484,0.8636565949901854,0.8481489949152581,0.8834111224306747,0.8672305598402748,0.012141764053088519
78,0.29461188316345216,0.07866864667663656,0.0019949913024902345,3.8738433859996607e-07,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.9139543141200138,0.8716444478676606,0.8935691918984058,0.8911209593105713,0.8535719581011207,0.8847757850955481,0.020568541765815504,101,0.8800462929629841,0.8848923399308664,0.8736815231310139,0.8855931159008341,0.8974122611452768,0.8843251066141951,0.007807654328057763
